County,Median Density,Mean Density,Total Revenue Density,Number of Listings
Dublin,2434.0,4948.724767374291,27029934.67939838,5462
Kerry,2231.625,3795.0889399378593,10929856.147021035,2880
Galway,2112.0,4097.021048334521,10902173.00961816,2661
Cork,2130.0,3780.2321723793034,9272909.518846432,2453
Clare,1846.8,3498.124435622992,5271673.524483849,1507
Donegal,1225.0,2199.6952321918293,5026303.60555833,2285
Mayo,1491.0,2505.394000223328,3560164.8743173494,1421
Wicklow,2032.5,3861.047928421081,2586902.1120421244,670
Wexford,1282.45,2358.51706908607,2231157.1473554224,946
Kilkenny,2448.0,4781.07124674618,1802463.86002331,377
Waterford,1785.0,2647.6424183399663,1646833.5842074591,622
Sligo,1741.125,2946.8821378066377,1473441.0689033188,500
Meath,1563.0,2642.0193424908425,1321009.6712454213,500
Tipperary,1625.25,2584.4729568216176,1302574.3702380953,504
Limerick,1947.0,3063.436453095598,1289706.7467532468,421
Kildare,972.0,2319.050894102411,1108506.3273809524,478
Louth,1675.0,2754.505767811187,953058.9956626707,346
Westmeath,1823.0,2921.7986886236886,648639.3088744589,222
Roscommon,1238.4,2447.532592639764,614330.6807525808,251
Leitrim,607.3636363636364,1773.788578088578,553422.0363636364,312
Cavan,960.0,1916.2152122841994,454143.0053113553,237
Carlow,1126.2272727272727,2369.214663907521,431197.0688311688,182
Laois,753.75,2114.7175766641735,403911.0571428571,191
Monaghan,936.0,2449.785714285714,357668.71428571426,146
Offaly,1098.0,2047.5476328903655,352178.1928571429,172
Longford,969.0,1424.346718146718,105401.65714285715,74
